data,produto,categoria,quantidade,preco
2026-05-19,Teclado,Acessorios,6,163.07
2026-05-27,Smartphone,Eletronicos,4,3035.52
2026-05-02,HD Externo,Acessorios,4,318.95
2026-01-25,Tablet,Eletronicos,4,1747.55
2026-04-16,Cadeira Gamer,Moveis,6,1093.0
2026-06-17,Tablet,Eletronicos,1,1641.82
2026-07-06,Webcam,Acessorios,1,170.95
2026-02-18,Mesa Escritorio,Moveis,4,696.03
2026-02-16,Headset,Acessorios,4,208.99
2026-08-25,Mouse,Acessorios,4,84.93
2026-08-08,Mesa Escritorio,Moveis,1,682.59
2026-05-19,SSD,Acessorios,1,459.4
2026-08-26,HD Externo,Acessorios,2,317.31
2026-05-05,Cadeira Gamer,Moveis,2,1287.52
2026-08-20,Notebook,Eletronicos,2,2439.49
2026-04-10,Headset,Acessorios,4,210.55
2026-06-28,Carregador,Acessorios,5,61.94
2026-05-05,Teclado,Acessorios,2,143.9
2026-01-15,Smartphone,Eletronicos,6,3227.0
2026-07-11,Webcam,Acessorios,1,163.81
2026-05-03,Mesa Escritorio,Moveis,5,698.61
2026-05-11,Mouse,Acessorios,2,73.1
2026-01-18,Tablet,Eletronicos,2,1765.36
2026-08-30,Roteador,Eletronicos,5,265.79
2026-06-02,Notebook,Eletronicos,5,2290.99
2026-06-18,Smartphone,Eletronicos,5,3214.58
2026-08-28,Headset,Acessorios,2,227.47
2026-03-22,Monitor,Eletronicos,3,881.24
2026-06-21,Tablet,Eletronicos,3,1784.6
2026-08-26,HD Externo,Acessorios,1,306.63
2026-06-09,Smartphone,Eletronicos,1,2926.89
2026-02-24,Mesa Escritorio,Moveis,3,694.87
2026-03-31,Roteador,Eletronicos,1,301.24
2026-04-05,Headset,Acessorios,2,217.28
2026-05-20,Carregador,Acessorios,3,61.34
2026-07-26,Tablet,Eletronicos,5,1622.82
2026-07-29,Mesa Escritorio,Moveis,3,814.76
2026-01-27,Roteador,Eletronicos,2,266.81
2026-08-16,Mouse,Acessorios,6,80.85
2026-03-11,Headset,Acessorios,5,207.27
2026-03-29,Monitor,Eletronicos,6,924.16
2026-03-09,Mesa Escritorio,Moveis,4,712.67
2026-08-21,SSD,Acessorios,1,385.75
2026-04-19,SSD,Acessorios,3,381.7
2026-03-27,HD Externo,Acessorios,2,349.32
2026-03-09,Teclado,Acessorios,6,148.26
2026-06-30,Impressora,Eletronicos,5,586.26
2026-01-20,Roteador,Eletronicos,6,302.62
2026-05-20,Notebook,Eletronicos,3,2541.25
2026-02-07,Impressora,Eletronicos,2,590.44
2026-04-04,Roteador,Eletronicos,1,302.34
2026-02-23,Tablet,Eletronicos,2,1860.1
2026-04-01,HD Externo,Acessorios,5,366.12
2026-04-15,Smartphone,Eletronicos,6,2978.91
2026-08-27,Monitor,Eletronicos,2,985.72
2026-04-02,Monitor,Eletronicos,2,
2026-07-27,Teclado,Acessorios,4,135.74
2026-07-08,Roteador,Eletronicos,3,295.81
2026-04-16,HD Externo,Acessorios,6,364.76
2026-07-27,Monitor,Eletronicos,3,838.66
2026-06-29,Mouse,Acessorios,4,85.95
2026-08-08,Cadeira Gamer,Moveis,2,1127.9
2026-08-24,Cadeira Gamer,Moveis,3,1153.25
2026-07-23,SSD,Acessorios,2,396.73
2026-06-18,Monitor,Eletronicos,4,869.09
2026-08-10,Mouse,Acessorios,3,77.62
2026-05-11,Impressora,Eletronicos,6,712.55
2026-05-18,Webcam,Acessorios,1,166.15
2026-03-08,Teclado,Acessorios,5,163.88
2026-03-09,Notebook,Eletronicos,1,2548.29
2026-03-30,Carregador,Acessorios,3,59.24
2026-05-11,Mouse,Acessorios,4,86.39
2026-02-18,Headset,Acessorios,1,229.19
2026-01-01,Mesa Escritorio,Moveis,5,778.03
2026-08-29,Carregador,Acessorios,6,62.05
2026-04-04,Impressora,Eletronicos,1,708.35
2026-08-24,Webcam,Acessorios,5,173.3
2026-08-06,Mouse,Acessorios,6,86.4
2026-05-10,Headset,Acessorios,6,215.97
2026-04-14,Carregador,Acessorios,3,60.65
2026-02-19,Impressora,Eletronicos,6,707.25
2026-06-23,Carregador,Acessorios,2,61.39
2026-03-19,Impressora,Eletronicos,5,693.38
2026-03-19,Headset,Acessorios,2,216.92
2026-05-29,Smartphone,Eletronicos,6,3086.24
2026-04-24,Cadeira Gamer,Moveis,6,1131.29
2026-05-02,HD Externo,Acessorios,6,317.54
2026-01-22,Headset,Acessorios,5,227.21
2026-06-08,Webcam,Acessorios,1,191.46
2026-07-12,Monitor,Eletronicos,6,865.88
2026-07-26,Monitor,Eletronicos,2,814.4
2026-03-04,Cadeira Gamer,Moveis,5,1283.94
2026-01-19,Cadeira Gamer,Moveis,4,1292.67
2026-05-28,Monitor,Eletronicos,6,935.34
2026-05-07,Impressora,Eletronicos,2,604.18
2026-06-26,Notebook,Eletronicos,1,2639.21
2026-02-26,Teclado,Acessorios,6,150.54
2026-01-13,Mesa Escritorio,Moveis,2,812.62
2026-02-01,Cadeira Gamer,Moveis,2,1272.34
2026-06-20,Mesa Escritorio,Moveis,5,764.32
2026-07-13,Roteador,Eletronicos,4,286.31
2026-07-04,Roteador,Eletronicos,5,275.9
2026-08-21,Mesa Escritorio,Moveis,4,809.58
2026-07-10,SSD,Acessorios,4,415.81
2026-07-12,Monitor,Eletronicos,6,859.92
2026-07-19,Mesa Escritorio,Moveis,4,769.01
2026-03-12,Cadeira Gamer,Moveis,1,1251.25
2026-03-02,Headset,Acessorios,3,212.07
2026-05-19,Mouse,Acessorios,2,74.41
2026-04-09,Carregador,Acessorios,2,62.48
2026-01-17,Impressora,Eletronicos,4,628.01
2026-04-30,Impressora,Eletronicos,1,611.89
2026-04-18,Impressora,Eletronicos,5,707.99
2026-01-06,SSD,Acessorios,5,409.95
2026-01-02,Webcam,Acessorios,3,189.13
2026-08-07,Roteador,Eletronicos,4,282.14
2026-07-08,Mesa Escritorio,Moveis,5,809.67
2026-05-05,Monitor,Eletronicos,3,888.45
2026-01-08,Impressora,Eletronicos,3,671.95
2026-07-24,Impressora,Eletronicos,6,606.46
2026-04-30,Roteador,Eletronicos,2,306.92
2026-05-17,Notebook,Eletronicos,4,2545.95
2026-06-19,Notebook,Eletronicos,1,2571.37
2026-02-04,SSD,Acessorios,4,393.27
2026-03-08,Impressora,Eletronicos,3,612.52
2026-03-25,Webcam,Acessorios,4,172.02
2026-08-01,Impressora,Eletronicos,3,693.54
2026-05-01,Notebook,Eletronicos,6,2519.71
2026-03-31,Monitor,Eletronicos,6,822.35
2026-06-16,Notebook,Eletronicos,1,2724.81
2026-02-21,SSD,Acessorios,1,430.19
2026-03-03,Teclado,Acessorios,4,155.08
2026-05-25,Monitor,Eletronicos,4,935.9
2026-07-16,Webcam,Acessorios,2,183.81
2026-07-11,Carregador,Acessorios,1,63.33
2026-13-40,Teclado,Acessorios,3,150
2026-02-11,Headset,Acessorios,1,223.46
2026-08-26,Headset,Acessorios,5,227.8
2026-04-07,Impressora,Eletronicos,6,610.78
2026-06-01,Carregador,Acessorios,6,56.91
2026-06-28,HD Externo,Acessorios,3,363.82
2026-06-03,HD Externo,Acessorios,1,360.14
2026-05-25,HD Externo,Acessorios,1,329.61
2026-04-20,Tablet,Eletronicos,3,1644.82
2026-06-15,Webcam,Acessorios,1,192.58
2026-07-30,Cadeira Gamer,Moveis,1,1184.05
2026-04-03,Tablet,Eletronicos,4,1874.63
2026-04-22,Teclado,Acessorios,6,150.65
2026-06-16,Headset,Acessorios,5,233.56
2026-05-18,HD Externo,Acessorios,4,337.61
2026-07-31,Carregador,Acessorios,5,57.22
2026-08-07,Monitor,Eletronicos,1,860.21
2026-04-26,Monitor,Eletronicos,4,912.57
2026-06-21,Impressora,Eletronicos,3,588.73
2026-08-06,Webcam,Acessorios,2,179.55
2026-04-01,HD Externo,Acessorios,3,329.14
2026-08-14,Smartphone,Eletronicos,6,3443.27
2026-05-23,Notebook,Eletronicos,5,2724.03
2026-01-22,Monitor,Eletronicos,6,883.16
2026-05-23,HD Externo,Acessorios,2,352.96
2026-06-15,Carregador,Acessorios,4,59.38
2026-01-05,Mouse,Acessorios,3,75.55
2026-06-27,Monitor,Eletronicos,3,929.51
2026-04-05,Cadeira Gamer,Moveis,5,1207.42
2026-04-19,Carregador,Acessorios,5,57.97
2026-06-29,Cadeira Gamer,Moveis,3,1153.59
2026-03-01,Mouse,Acessorios,6,75.08
2026-01-31,Carregador,Acessorios,5,65.41
2026-06-26,Teclado,Acessorios,2,141.49
2026-05-04,Headset,Acessorios,6,223.94
2026-07-14,Mesa Escritorio,Moveis,5,717.45
2026-01-26,SSD,Acessorios,2,402.88
2026-04-03,Teclado,Acessorios,3,135.42
2026-05-17,Teclado,Acessorios,3,136.37
2026-01-14,Mesa Escritorio,Moveis,3,779.61
2026-02-02,Tablet,Eletronicos,4,1656.93
2026-01-04,Smartphone,Eletronicos,3,3180.41
2026-04-23,Webcam,Acessorios,2,196.76
2026-03-06,SSD,Acessorios,4,387.58
2026-01-17,Impressora,Eletronicos,4,594.63
2026-06-11,Tablet,Eletronicos,1,1674.62
2026-07-27,Smartphone,Eletronicos,3,2934.52
2026-03-05,Mouse,Acessorios,5,84.23
2026-06-05,Smartphone,Eletronicos,5,3024.44
2026-05-14,Impressora,Eletronicos,4,703.11
2026-03-18,SSD,Acessorios,5,461.16
2026-03-20,Smartphone,Eletronicos,5,2918.55
2026-07-09,Mouse,Acessorios,2,82.01
2026-03-09,Tablet,Eletronicos,1,1676.54
2026-02-14,Mesa Escritorio,Moveis,1,698.48
2026-04-15,Cadeira Gamer,Moveis,6,1222.51
2026-03-16,Notebook,Eletronicos,2,2394.05
2026-03-14,Carregador,Acessorios,4,54.85
2026-03-01,Roteador,Eletronicos,3,296.12
2026-06-10,Smartphone,Eletronicos,6,3394.5
2026-02-20,Impressora,Eletronicos,1,655.79
2026-06-15,Teclado,Acessorios,3,159.8
2026-01-19,Notebook,Eletronicos,2,2646.31
2026-06-02,Carregador,Acessorios,5,65.05
2026-04-23,Mouse,Acessorios,4,83.02
2026-06-29,Impressora,Eletronicos,3,650.06
2026-05-07,Cadeira Gamer,Moveis,1,1223.53
2026-08-16,Impressora,Eletronicos,6,626.9
2026-03-06,Notebook,Eletronicos,1,2364.46
2026-06-22,SSD,Acessorios,5,427.32
2026-01-06,HD Externo,Acessorios,6,361.86
2026-05-28,Notebook,Eletronicos,2,2485.25
2026-06-16,Cadeira Gamer,Moveis,3,1123.56
2026-05-30,Impressora,Eletronicos,6,690.85
2026-01-24,Cadeira Gamer,Moveis,3,1178.0
2026-03-24,Tablet,Eletronicos,1,1928.78
2026-03-26,Impressora,Eletronicos,6,649.41
2026-06-19,Impressora,Eletronicos,5,589.77
2026-01-23,Webcam,Acessorios,3,173.64
2026-07-17,Impressora,Eletronicos,5,692.24
2026-01-01,Tablet,Eletronicos,5,1786.31
2026-01-14,Monitor,Eletronicos,5,875.12
2026-07-13,Cadeira Gamer,Moveis,6,1186.09
2026-01-14,Monitor,Eletronicos,3,908.86
2026-08-26,Headset,Acessorios,4,236.76
2026-05-05,Mouse,Acessorios,1,87.57
2026-06-05,HD Externo,Acessorios,2,354.27
2026-03-21,Mesa Escritorio,Moveis,1,757.84
2026-01-24,Monitor,Eletronicos,1,893.06
2026-01-31,Tablet,Eletronicos,2,1799.42
2026-07-03,Headset,Acessorios,5,229.04
2026-04-17,SSD,Acessorios,4,460.34
2026-03-04,Cadeira Gamer,Moveis,5,1114.71
2026-02-18,Roteador,Eletronicos,5,280.46
2026-08-14,Teclado,Acessorios,1,143.29
2026-07-22,SSD,Acessorios,4,406.55
2026-07-21,Mesa Escritorio,Moveis,3,798.08
2026-03-14,Carregador,Acessorios,3,64.05
2026-05-29,Tablet,Eletronicos,4,1931.49
2026-04-25,Mesa Escritorio,Moveis,4,726.77
2026-05-22,HD Externo,Acessorios,5,331.65
2026-08-27,Webcam,Acessorios,2,197.31
2026-03-03,Smartphone,Eletronicos,4,3029.48
2026-07-18,Impressora,Eletronicos,1,626.36
2026-05-02,Carregador,Acessorios,4,58.63
2026-06-19,HD Externo,Acessorios,6,372.7
2026-05-07,Notebook,Eletronicos,2,2501.15
2026-06-01,Webcam,Acessorios,1,193.47
2026-04-23,Mouse,Acessorios,5,86.57
2026-01-04,Carregador,Acessorios,2,58.92
2026-06-17,Teclado,Acessorios,1,149.08
2026-03-09,Webcam,Acessorios,5,186.94
2026-06-16,Mouse,Acessorios,3,85.64
2026-08-08,Mesa Escritorio,Moveis,4,818.12
2026-06-10,Carregador,Acessorios,4,64.47
2026-01-10,Smartphone,Eletronicos,1,3030.25
2026-06-25,Roteador,Eletronicos,3,307.86
2026-07-11,Mouse,Acessorios,4,87.65
2026-07-14,Tablet,Eletronicos,6,1934.13
2026-04-24,Teclado,Acessorios,6,143.98
2026-01-08,Notebook,Eletronicos,3,2648.07
2026-03-17,Webcam,Acessorios,3,177.5
2026-03-04,Mesa Escritorio,Moveis,4,759.89
2026-07-22,Teclado,Acessorios,2,140.25
2026-06-06,SSD,Acessorios,4,430.06
2026-03-03,Cadeira Gamer,Moveis,5,1114.35
2026-04-29,Tablet,Eletronicos,3,1785.45
2026-06-20,Notebook,Eletronicos,4,2700.6
2026-06-23,Mesa Escritorio,Moveis,2,686.08
2026-08-30,Webcam,Acessorios,5,172.77
2026-04-19,Carregador,Acessorios,3,59.48
2026-03-19,Monitor,Eletronicos,4,963.6
2026-01-28,Monitor,Eletronicos,4,912.95
2026-05-28,Headset,Acessorios,6,210.99
2026-08-01,Tablet,Eletronicos,4,1718.81
2026-05-25,SSD,Acessorios,6,443.38
2026-01-13,Roteador,Eletronicos,5,293.73
2026-08-02,Roteador,Eletronicos,3,295.44
2026-02-28,Smartphone,Eletronicos,3,3020.16
2026-02-18,Smartphone,Eletronicos,3,3313.77
2026-07-04,HD Externo,Acessorios,6,352.3
2026-02-05,Tablet,Eletronicos,1,1945.23
2026-06-15,Notebook,Eletronicos,3,2644.31
2026-01-09,Smartphone,Eletronicos,3,3348.71
2026-01-24,Roteador,Eletronicos,3,270.3
2026-04-17,Teclado,Acessorios,2,138.96
2026-05-19,Roteador,Eletronicos,3,281.73
2026-08-22,Headset,Acessorios,2,209.31
2026-07-31,Cadeira Gamer,Moveis,3,1259.17
2026-03-28,HD Externo,Acessorios,1,337.85
2026-01-20,Teclado,Acessorios,2,160.8
2026-07-05,Tablet,Eletronicos,4,1968.22
2026-07-25,Mesa Escritorio,Moveis,3,688.55
2026-04-12,Notebook,Eletronicos,3,2518.29
2026-04-27,Webcam,Acessorios,6,188.96
2026-03-09,Smartphone,Eletronicos,4,3406.35
2026-08-29,Webcam,Acessorios,1,186.29
2026-05-01,Notebook,Eletronicos,5,2692.12
2026-05-24,Webcam,Acessorios,5,169.97
2026-01-17,Tablet,Eletronicos,4,1947.38
2026-03-19,Tablet,Eletronicos,4,1662.0
2026-01-12,Notebook,Eletronicos,3,2747.96
2026-01-30,Mouse,Acessorios,2,86.2
2026-02-04,Impressora,Eletronicos,4,633.23
2026-07-10,Carregador,Acessorios,5,59.03
2026-07-10,Carregador,Acessorios,2,64.62
2026-06-17,Mouse,Acessorios,4,81.85
2026-08-29,Headset,Acessorios,1,228.37
2026-02-25,Cadeira Gamer,Moveis,4,1308.13
2026-08-07,Webcam,Acessorios,1,197.31
2026-04-05,Mesa Escritorio,Moveis,6,728.8
2026-04-12,Headset,Acessorios,2,240.6
2026-08-06,SSD,Acessorios,4,385.7
2026-02-24,Tablet,Eletronicos,6,1834.97
2026-01-06,Notebook,Eletronicos,3,2371.78
2026-02-02,HD Externo,Acessorios,5,319.95
2026-08-01,HD Externo,Acessorios,5,320.09
2026-02-25,SSD,Acessorios,2,405.6
2026-02-07,HD Externo,Acessorios,5,306.19
2026-08-08,Teclado,Acessorios,2,151.21
2026-07-24,Teclado,Acessorios,1,154.83
2026-01-07,Teclado,Acessorios,1,145.75
2026-07-21,Monitor,Eletronicos,5,868.28
2026-02-14,Headset,Acessorios,1,203.58
2026-04-18,Mesa Escritorio,Moveis,1,786.85
2026-05-02,Cadeira Gamer,Moveis,3,1203.18
2026-01-28,Cadeira Gamer,Moveis,5,1133.17
2026-06-07,Notebook,Eletronicos,6,2641.61
2026-08-10,Tablet,Eletronicos,5,1728.59
2026-06-14,Notebook,Eletronicos,1,2749.29
2026-08-05,Impressora,Eletronicos,4,674.19
2026-05-06,Carregador,Acessorios,4,54.88
2026-01-21,Webcam,Acessorios,5,167.34
2026-02-02,Headset,Acessorios,5,225.86
2026-05-21,Carregador,Acessorios,3,58.57
2026-06-02,Mesa Escritorio,Moveis,3,743.06
2026-06-04,Impressora,Eletronicos,1,688.1
2026-01-30,SSD,Acessorios,6,432.68
2026-07-16,Mesa Escritorio,Moveis,6,804.82
2026-04-21,Cadeira Gamer,Moveis,2,1179.32
2026-07-31,Cadeira Gamer,Moveis,4,1179.84
2026-01-25,Webcam,Acessorios,4,173.25
2026-03-07,Webcam,Acessorios,2,186.73
2026-05-02,Mouse,Acessorios,1,85.31
2026-02-09,Monitor,Eletronicos,3,828.4
